"Nome","Colore","Tag","In vetrina","Ordine"
"Fior di latte","Panna","gelato","true","10"
"Crema","Crema","gelato","true","20"
"Stracciatella","Stracciatella","gelato","true","30"
"Yogurt bianco","Bianco","gelato, sg","true","40"
"Cheesecake frutti rossi","Frutti rossi","semifreddo","true","50"
"Pistacchio","Pistacchio","gelato, sg","true","60"
"Nocciola","Nocciola","gelato","true","70"
"Cioccolato fondente","Cioccolato fondente","gelato, vegano","true","80"
"Cioccolato al latte","Cioccolato al latte","gelato","true","90"
"Nutella","Cioccolato scuro","gelato","true","100"
"Bacio","Cioccolato scuro","gelato","true","110"
"Caffè","Caffè","gelato","true","120"
"Caramello salato","Caramello","gelato","true","130"
"Pino pinguino","Cioccolato scuro","gelato","true","140"
"Punto Gi","Viola Punto G","gelato","true","150"
"Fragola","Fragola","sorbetto, vegano, sg","true","160"
"Limone","Limone","sorbetto, vegano, sg","true","170"
"Mango","Mango","sorbetto, vegano, sg","true","180"
"Cocco","Bianco","gelato, sg","true","190"
"After Eight","Verde menta scuro","gelato","true","200"
